ID,SourceStructureID,TypeSource,TargetStructureID,TypeTarget,Bidirectional,LastModified,Links
606,1243,Ribbon Synapse,26412,Postsynapse,False,2019-03-26T17:22:29.213-07:00,"[{'SourceID': 26019, 'TargetID': 34914, 'Directional': False}]"
607,1243,Ribbon Synapse,192,Postsynapse,False,2018-11-09T21:45:06.747-08:00,"[{'SourceID': 26048, 'TargetID': 24934, 'Directional': False}]"
608,1243,Ribbon Synapse,192,Postsynapse,False,2020-09-20T22:23:14.063-07:00,"[{'SourceID': 26061, 'TargetID': 45523, 'Directional': False}]"
609,1243,Ribbon Synapse,192,Postsynapse,False,2020-09-20T22:16:07.743-07:00,"[{'SourceID': 26064, 'TargetID': 45519, 'Directional': False}]"
610,1243,Ribbon Synapse,38821,Postsynapse,False,2019-07-12T21:24:22.97-07:00,"[{'SourceID': 26072, 'TargetID': 38825, 'Directional': False}]"
611,1243,Ribbon Synapse,36725,Postsynapse,False,2019-05-23T15:45:59.527-07:00,"[{'SourceID': 26074, 'TargetID': 36727, 'Directional': False}]"
612,1243,Ribbon Synapse,192,Postsynapse,False,2018-01-22T20:35:45.123-08:00,"[{'SourceID': 26094, 'TargetID': 24852, 'Directional': False}]"
613,192,Postsynapse,192,Adherens,False,2019-05-08T18:37:22.157-07:00,"[{'SourceID': 26161, 'TargetID': 35907, 'Directional': False}]"
614,26167,Ribbon Synapse,192,Postsynapse,False,2018-01-24T20:48:59.083-08:00,"[{'SourceID': 26168, 'TargetID': 24815, 'Directional': False}]"
615,26167,Ribbon Synapse,192,Postsynapse,False,2018-01-24T21:16:24.733-08:00,"[{'SourceID': 26173, 'TargetID': 24555, 'Directional': False}]"
616,26167,Ribbon Synapse,192,Postsynapse,False,2020-09-16T01:10:33.93-07:00,"[{'SourceID': 26176, 'TargetID': 45478, 'Directional': False}]"
617,26167,Ribbon Synapse,192,Postsynapse,False,2018-01-24T23:51:02.86-08:00,"[{'SourceID': 26181, 'TargetID': 25273, 'Directional': False}]"
618,659,Ribbon Synapse,192,Postsynapse,False,2020-09-20T22:04:46.287-07:00,"[{'SourceID': 26200, 'TargetID': 45515, 'Directional': False}]"
619,1001,Ribbon Synapse,1685,Postsynapse,False,2019-03-18T21:04:53.387-07:00,"[{'SourceID': 26230, 'TargetID': 34558, 'Directional': False}]"
620,1001,Ribbon Synapse,265,Postsynapse,False,2019-08-15T20:29:42.57-07:00,"[{'SourceID': 26238, 'TargetID': 39909, 'Directional': False}]"
621,1001,Ribbon Synapse,69,Postsynapse,False,2019-11-26T19:01:58.117-08:00,"[{'SourceID': 26238, 'TargetID': 41449, 'Directional': False}]"
622,1001,Ribbon Synapse,69,Postsynapse,False,2020-03-11T21:32:50.46-07:00,"[{'SourceID': 26238, 'TargetID': 42898, 'Directional': False}]"
623,1001,Ribbon Synapse,265,Postsynapse,False,2019-08-15T20:29:40.303-07:00,"[{'SourceID': 26239, 'TargetID': 39910, 'Directional': False}]"
624,1001,Ribbon Synapse,39911,Postsynapse,False,2019-08-15T20:28:45.637-07:00,"[{'SourceID': 26240, 'TargetID': 39912, 'Directional': False}]"
625,1001,Ribbon Synapse,265,Postsynapse,False,2019-08-15T20:28:48.65-07:00,"[{'SourceID': 26240, 'TargetID': 39913, 'Directional': False}]"
626,1,Ribbon Synapse,192,Postsynapse,False,2020-03-12T19:22:21.37-07:00,"[{'SourceID': 26244, 'TargetID': 32501, 'Directional': False}]"
627,26167,Ribbon Synapse,192,Postsynapse,False,2018-01-31T19:56:30.917-08:00,"[{'SourceID': 26251, 'TargetID': 25940, 'Directional': False}]"
628,26317,Ribbon Synapse,25001,Postsynapse,False,2018-08-24T20:50:21.62-07:00,"[{'SourceID': 26318, 'TargetID': 29540, 'Directional': False}]"
629,740,Ribbon Synapse,38152,Postsynapse,False,2019-07-12T19:29:32.51-07:00,"[{'SourceID': 26391, 'TargetID': 38801, 'Directional': False}]"
630,170,Ribbon Synapse,192,Postsynapse,False,2020-03-11T17:50:48.573-07:00,"[{'SourceID': 26402, 'TargetID': 42824, 'Directional': False}]"
631,740,Ribbon Synapse,2614,Postsynapse,False,2019-11-13T17:31:51.857-08:00,"[{'SourceID': 26407, 'TargetID': 40943, 'Directional': False}]"
632,740,Ribbon Synapse,38152,Postsynapse,False,2019-07-12T19:27:04.657-07:00,"[{'SourceID': 26409, 'TargetID': 38800, 'Directional': False}]"
633,26608,Ribbon Synapse,831,Postsynapse,False,2018-02-27T22:28:31.82-08:00,"[{'SourceID': 26609, 'TargetID': 26612, 'Directional': False}]"
634,26917,Ribbon Synapse,262,Postsynapse,False,2020-09-15T19:16:20.37-07:00,"[{'SourceID': 26950, 'TargetID': 45439, 'Directional': False}]"
635,31228,Ribbon Synapse,146,Postsynapse,False,2018-03-28T17:06:16.973-07:00,"[{'SourceID': 27445, 'TargetID': 27162, 'Directional': False}]"
636,170,Ribbon Synapse,31230,Postsynapse,False,2018-11-27T18:19:55.937-08:00,"[{'SourceID': 27451, 'TargetID': 31231, 'Directional': False}]"
637,1238,Cistern Pre,126,Cistern Post,False,2018-03-30T19:30:59.827-07:00,"[{'SourceID': 27468, 'TargetID': 27467, 'Directional': False}]"
638,997,Cistern Pre,1340,Cistern Post,False,2018-04-02T22:58:42.22-07:00,"[{'SourceID': 27507, 'TargetID': 27508, 'Directional': False}]"
639,997,Conventional,352,Postsynapse,False,2018-04-02T23:25:24.27-07:00,"[{'SourceID': 27509, 'TargetID': 2727, 'Directional': False}]"
640,309,Ribbon Synapse,27669,Postsynapse,False,2018-04-09T19:15:53.55-07:00,"[{'SourceID': 27668, 'TargetID': 27670, 'Directional': False}]"
641,27669,Conventional,309,Postsynapse,False,2018-04-09T19:16:43.447-07:00,"[{'SourceID': 27671, 'TargetID': 24968, 'Directional': False}]"
642,341,Ribbon Synapse,146,Postsynapse,False,2018-04-11T21:16:07.93-07:00,"[{'SourceID': 27789, 'TargetID': 1893, 'Directional': False}]"
643,26343,Ribbon Synapse,617,Postsynapse,False,2018-04-12T17:36:55.853-07:00,"[{'SourceID': 27808, 'TargetID': 27807, 'Directional': False}]"
644,1537,Ribbon Synapse,38865,Postsynapse,False,2019-07-15T17:17:10.297-07:00,"[{'SourceID': 27870, 'TargetID': 38866, 'Directional': False}]"
645,1537,Ribbon Synapse,2712,Postsynapse,False,2019-07-15T17:30:53.267-07:00,"[{'SourceID': 27870, 'TargetID': 38883, 'Directional': False}]"
646,1537,Ribbon Synapse,38894,Postsynapse,False,2019-07-15T18:14:34.54-07:00,"[{'SourceID': 27871, 'TargetID': 38899, 'Directional': False}]"
647,1537,Ribbon Synapse,38865,Postsynapse,False,2019-07-15T18:14:37.537-07:00,"[{'SourceID': 27871, 'TargetID': 38900, 'Directional': False}]"
648,1537,Ribbon Synapse,38865,Postsynapse,False,2019-07-15T17:19:41.177-07:00,"[{'SourceID': 27874, 'TargetID': 38871, 'Directional': False}]"
649,1537,Ribbon Synapse,2712,Postsynapse,False,2019-07-15T17:31:36.95-07:00,"[{'SourceID': 27874, 'TargetID': 38884, 'Directional': False}]"
650,1537,Ribbon Synapse,262,Postsynapse,False,2019-07-15T18:16:02.88-07:00,"[{'SourceID': 27875, 'TargetID': 38903, 'Directional': False}]"
651,1537,Ribbon Synapse,38901,Postsynapse,False,2019-07-15T18:16:00.89-07:00,"[{'SourceID': 27875, 'TargetID': 38904, 'Directional': False}]"
652,1537,Ribbon Synapse,38894,Postsynapse,False,2019-07-15T17:53:41.593-07:00,"[{'SourceID': 27876, 'TargetID': 38897, 'Directional': False}]"
