ID,TypeID,Notes,Verified,Tags,Confidence,Version,ParentID,Created,Label,Username,LastModified
1,1,"Probable Rod Bipolar cell
*****BEGIN MERGE FROM 26243*****
Possible branch off C1
*****END MERGE FROM 26243*****
41639,34,,False,,0.5,AAAAAAAs4bU=,2711,2020-01-03T17:50:35.383-08:00,,rpfeiffer       ,2020-01-03T17:50:35.383-08:00
41640,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs4eE=,2711,2020-01-03T17:55:01.227-08:00,,rpfeiffer       ,2020-01-03T17:55:01.227-08:00
41641,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs4gM=,2711,2020-01-03T17:56:52.38-08:00,,rpfeiffer       ,2020-01-03T17:56:52.38-08:00
41642,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs4ig=,2711,2020-01-03T17:57:46.9-08:00,,rpfeiffer       ,2020-01-03T17:57:46.9-08:00
41643,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs4n8=,2711,2020-01-03T18:00:53.293-08:00,,rpfeiffer       ,2020-01-03T18:00:53.293-08:00
41644,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs4oY=,2711,2020-01-03T18:01:16.207-08:00,,rpfeiffer       ,2020-01-03T18:01:16.207-08:00
41645,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs4pw=,2711,2020-01-03T18:02:57.44-08:00,,rpfeiffer       ,2020-01-03T18:02:57.44-08:00
41646,34,,False,,0.5,AAAAAAAs4rA=,2711,2020-01-03T18:03:29.967-08:00,,rpfeiffer       ,2020-01-03T18:03:29.967-08:00
41647,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs4u4=,2711,2020-01-03T18:07:36.33-08:00,,rpfeiffer       ,2020-01-03T18:07:36.33-08:00
41648,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs4v0=,2711,2020-01-03T18:08:01.107-08:00,,rpfeiffer       ,2020-01-03T18:08:01.107-08:00
41649,34,,False,,0.5,AAAAAAAs4wU=,2711,2020-01-03T18:08:14.69-08:00,,rpfeiffer       ,2020-01-03T18:08:14.69-08:00
41650,34,,False,,0.5,AAAAAAAs4xg=,2711,2020-01-03T18:08:52.167-08:00,,rpfeiffer       ,2020-01-03T18:08:52.167-08:00
41651,34,,False,,0.5,AAAAAAAs4yE=,2711,2020-01-03T18:09:11.003-08:00,,rpfeiffer       ,2020-01-03T18:09:11.003-08:00
41652,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs40U=,2711,2020-01-03T18:10:47.007-08:00,,rpfeiffer       ,2020-01-03T18:10:47.007-08:00
41653,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs5KI=,2455,2020-01-03T20:44:44.157-08:00,,JHY             ,2020-01-03T20:44:44.157-08:00
41654,85,,False,,0.5,AAAAAAAs5KQ=,2455,2020-01-03T20:45:52.837-08:00,,JHY             ,2020-01-03T20:45:52.837-08:00
41655,262,,False,,0.5,AAAAAAAs5KY=,2455,2020-01-03T20:50:17.28-08:00,,JHY             ,2020-01-03T20:50:17.28-08:00
41656,34,,False,,0.5,AAAAAAAs5LM=,2455,2020-01-03T21:02:36.157-08:00,,JHY             ,2020-01-03T21:02:36.157-08:00
